Coefficient,Term,Coefficient type
-75.29290096858358,I,<class 'numpy.float64'>
-0.4130405889797578,Z7,<class 'numpy.float64'>
-0.4130405773093467,Z6,<class 'numpy.float64'>
0.1610195719223875,Z6 Z7,<class 'numpy.float64'>
-0.1148169992259135,Z5,<class 'numpy.float64'>
0.1242087658429431,Z5 Z7,<class 'numpy.float64'>
0.1329527085596449,Z5 Z6,<class 'numpy.float64'>
-0.0087439405761702,X4 X5 Y6 Y7,<class 'numpy.float64'>
0.0087439405761702,X4 Y5 Y6 X7,<class 'numpy.float64'>
0.0087439405761702,Y4 X5 X6 Y7,<class 'numpy.float64'>
-0.0087439405761702,Y4 Y5 X6 X7,<class 'numpy.float64'>
-0.1148169936459776,Z4,<class 'numpy.float64'>
0.132952704856982,Z4 Z7,<class 'numpy.float64'>
0.1242087664213423,Z4 Z6,<class 'numpy.float64'>
0.1308953758839896,Z4 Z5,<class 'numpy.float64'>
0.0369361917440201,Z3,<class 'numpy.float64'>
0.1254883115138415,Z3 Z7,<class 'numpy.float64'>
0.1322333074642035,Z3 Z6,<class 'numpy.float64'>
0.0842220163619075,Z3 Z5,<class 'numpy.float64'>
0.1272311119696764,Z3 Z4,<class 'numpy.float64'>
-0.0067449921133051,X2 X3 Y6 Y7,<class 'numpy.float64'>
-0.0430090956077689,X2 X3 Y4 Y5,<class 'numpy.float64'>
0.0067449921133051,X2 Y3 Y6 X7,<class 'numpy.float64'>
0.0430090956077689,X2 Y3 Y4 X5,<class 'numpy.float64'>
0.0067449921133051,Y2 X3 X6 Y7,<class 'numpy.float64'>
0.0430090956077689,Y2 X3 X4 Y5,<class 'numpy.float64'>
-0.0067449921133051,Y2 Y3 X6 X7,<class 'numpy.float64'>
-0.0430090956077689,Y2 Y3 X4 X5,<class 'numpy.float64'>
0.0369361944206599,Z2,<class 'numpy.float64'>
0.1322333025241745,Z2 Z7,<class 'numpy.float64'>
0.1254883142479256,Z2 Z6,<class 'numpy.float64'>
0.1272311119696764,Z2 Z5,<class 'numpy.float64'>
0.0842220163619075,Z2 Z4,<class 'numpy.float64'>
0.1268799273032922,Z2 Z3,<class 'numpy.float64'>
-0.0025664687265514,X1 X2 Y5 Y6,<class 'numpy.float64'>
-0.025118026596256,X1 X2 X4 Z5 Z6 X7,<class 'numpy.float64'>
0.0025664687265514,X1 Y2 Y5 X6,<class 'numpy.float64'>
-0.025118026596256,X1 Y2 Y4 Z5 Z6 X7,<class 'numpy.float64'>
-0.0199743996291842,X1 Z2 X3 X5 Z6 X7,<class 'numpy.float64'>
0.0025771577439292,X1 Z2 X3 Y5 Z6 Y7,<class 'numpy.float64'>
0.0051436270877119,X1 Z2 X3 X4 Z5 X6,<class 'numpy.float64'>
0.0051436270877119,X1 Z2 X3 Y4 Z5 Y6,<class 'numpy.float64'>
-0.0225515573731134,X1 Z2 Y3 Y5 Z6 X7,<class 'numpy.float64'>
0.0025664687265514,Y1 X2 X5 Y6,<class 'numpy.float64'>
-0.025118026596256,Y1 X2 X4 Z5 Z6 Y7,<class 'numpy.float64'>
-0.0025664687265514,Y1 Y2 X5 X6,<class 'numpy.float64'>
-0.025118026596256,Y1 Y2 Y4 Z5 Z6 Y7,<class 'numpy.float64'>
-0.0225515573731134,Y1 Z2 X3 X5 Z6 Y7,<class 'numpy.float64'>
0.0025771577439292,Y1 Z2 Y3 X5 Z6 X7,<class 'numpy.float64'>
-0.0199743996291842,Y1 Z2 Y3 Y5 Z6 Y7,<class 'numpy.float64'>
0.0051436270877119,Y1 Z2 Y3 X4 Z5 X6,<class 'numpy.float64'>
0.0051436270877119,Y1 Z2 Y3 Y4 Z5 Y6,<class 'numpy.float64'>
0.1410239334696005,Z1,<class 'numpy.float64'>
0.1063225577733185,Z1 Z7,<class 'numpy.float64'>
0.1301856387473734,Z1 Z6,<class 'numpy.float64'>
0.1085779188197521,Z1 Z5,<class 'numpy.float64'>
0.1119299940073301,Z1 Z4,<class 'numpy.float64'>
0.106202929706351,Z1 Z3,<class 'numpy.float64'>
0.1114911100967422,Z1 Z2,<class 'numpy.float64'>
-0.0238630798971713,X0 X1 Y6 Y7,<class 'numpy.float64'>
-0.0033520754747109,X0 X1 Y4 Y5,<class 'numpy.float64'>
-0.0052881808416518,X0 X1 Y2 Y3,<class 'numpy.float64'>
0.0238630798971713,X0 Y1 Y6 X7,<class 'numpy.float64'>
0.0033520754747109,X0 Y1 Y4 X5,<class 'numpy.float64'>
0.0052881808416518,X0 Y1 Y2 X3,<class 'numpy.float64'>
0.0051436273951199,X0 Z1 X2 X5 Z6 X7,<class 'numpy.float64'>
0.0051436273951199,X0 Z1 X2 Y5 Z6 Y7,<class 'numpy.float64'>
-0.0199744001587892,X0 Z1 X2 X4 Z5 X6,<class 'numpy.float64'>
0.0025771586183056,X0 Z1 X2 Y4 Z5 Y6,<class 'numpy.float64'>
-0.0225515587770948,X0 Z1 Y2 Y4 Z5 X6,<class 'numpy.float64'>
-0.0251180276745492,X0 Z1 Z2 X3 X5 X6,<class 'numpy.float64'>
-0.0025664693940456,X0 Z1 Z2 X3 Y4 Z5 Z6 Y7,<class 'numpy.float64'>
-0.0251180276745492,X0 Z1 Z2 Y3 Y5 X6,<class 'numpy.float64'>
0.0025664693940456,X0 Z1 Z2 Y3 Y4 Z5 Z6 X7,<class 'numpy.float64'>
0.0238630798971713,Y0 X1 X6 Y7,<class 'numpy.float64'>
0.0033520754747109,Y0 X1 X4 Y5,<class 'numpy.float64'>
0.0052881808416518,Y0 X1 X2 Y3,<class 'numpy.float64'>
