ef0,f0,ef1,f1,ef2,f2,ef4,f4,ef8,f8
-77.19387111682627,930.6387375649701,-77.19387111682627,842.3492773143082,-77.19387111682627,917.0626517458724,-77.19387111682627,924.5897828173398,-77.19387111682627,929.0389358917737
-77.19347111682627,930.7585166124527,-77.19347111682627,842.5020729593405,-77.19347111682627,917.182894597806,-77.19347111682627,924.7092767723528,-77.19347111682627,929.1582760437338
-77.19307111682627,930.8780681344446,-77.19307111682627,842.654673516813,-77.19307111682627,917.3029137136771,-77.19307111682627,924.8285447017923,-77.19307111682627,929.2773889290302
-77.19267111682628,930.9973920581692,-77.19267111682628,842.8070788950564,-77.19267111682628,917.4227090204523,-77.19267111682628,924.9475865330204,-77.19267111682628,929.3962744751107
-77.19227111682628,931.1164883109856,-77.19227111682628,842.9592890025125,-77.19227111682628,917.5422804452298,-77.19227111682628,925.0664021935349,-77.19227111682628,929.5149326095583
-77.19187111682628,931.2353568203894,-77.19187111682628,843.1113037477372,-77.19187111682628,917.6616279152425,-77.19187111682628,925.1849916109687,-77.19187111682628,929.633363260092
-77.19147111682628,931.3539975140103,-77.19147111682628,843.2631230393995,-77.19147111682628,917.7807513578566,-77.19147111682628,925.3033547130906,-77.19147111682628,929.7515663545688
-77.19107111682628,931.4724103196173,-77.19107111682628,843.4147467862789,-77.19107111682628,917.8996507005722,-77.19107111682628,925.4214914278032,-77.19107111682628,929.8695418209796
-77.19067111682628,931.5905951651134,-77.19067111682628,843.5661748972709,-77.19067111682628,918.0183258710229,-77.19067111682628,925.5394016831452,-77.19067111682628,929.9872895874503
-77.19027111682627,931.7085519785386,-77.19027111682627,843.717407281381,-77.19027111682627,918.1367767969766,-77.19027111682627,925.6570854072914,-77.19027111682627,930.1048095822466
-77.18987111682627,931.8262806880697,-77.18987111682627,843.8684438477295,-77.18987111682627,918.2550034063349,-77.18987111682627,925.774542528551,-77.18987111682627,930.2221017337683
-77.18947111682627,931.9437812220181,-77.18947111682627,844.01928450555,-77.18947111682627,918.373005627132,-77.18947111682627,925.8917729753687,-77.18947111682627,930.3391659705517
-77.18907111682627,932.0610535088337,-77.18907111682627,844.1699291641867,-77.18907111682627,918.4907833875392,-77.18907111682627,926.0087766763256,-77.18907111682627,930.4560022212684
-77.18867111682627,932.1780974771021,-77.18867111682627,844.3203777331005,-77.18867111682627,918.6083366158584,-77.18867111682627,926.1255535601367,-77.18867111682627,930.572610414728
-77.18827111682627,932.2949130555446,-77.18827111682627,844.4706301218635,-77.18827111682627,918.7256652405288,-77.18827111682627,926.2421035556563,-77.18827111682627,930.688990479877
-77.18787111682627,932.4115001730214,-77.18787111682627,844.620686240162,-77.18787111682627,918.8427691901209,-77.18787111682627,926.3584265918695,-77.18787111682627,930.8051423457956
-77.18747111682627,932.5278587585273,-77.18747111682627,844.7705459977951,-77.18747111682627,918.9596483933407,-77.18747111682627,926.4745225979003,-77.18747111682627,930.9210659417037
-77.18707111682627,932.6439887411939,-77.18707111682627,844.9202093046758,-77.18707111682627,919.0763027790288,-77.18707111682627,926.5903915030079,-77.18707111682627,931.0367611969557
-77.18667111682628,932.7598900502908,-77.18667111682628,845.069676070831,-77.18667111682628,919.1927322761607,-77.18667111682628,926.7060332365871,-77.18667111682628,931.1522280410449
-77.18627111682628,932.8755626152234,-77.18627111682628,845.2189462064007,-77.18627111682628,919.3089368138437,-77.18627111682628,926.8214477281699,-77.18627111682628,931.2674664035977
-77.18587111682628,932.9910063655357,-77.18587111682628,845.3680196216388,-77.18587111682628,919.4249163213229,-77.18587111682628,926.9366349074228,-77.18587111682628,931.3824762143822
-77.18547111682628,933.1062212309054,-77.18547111682628,845.5168962269139,-77.18547111682628,919.5406707279764,-77.18547111682628,927.0515947041475,-77.18547111682628,931.4972574032988
-77.18507111682628,933.2212071411511,-77.18507111682628,845.6655759327059,-77.18507111682628,919.6561999633157,-77.18507111682628,927.1663270482849,-77.18507111682628,931.6118099003875
-77.18467111682628,933.3359640262261,-77.18467111682628,845.8140586496124,-77.18467111682628,919.7715039569877,-77.18467111682628,927.2808318699091,-77.18467111682628,931.7261336358243
-77.18427111682628,933.4504918162213,-77.18427111682628,845.9623442883429,-77.18427111682628,919.886582638777,-77.18427111682628,927.3951090992329,-77.18427111682628,931.8402285399228
-77.18387111682627,933.5647904413653,-77.18387111682627,846.11043275972,-77.18387111682627,920.001435938598,-77.18387111682627,927.5091586666028,-77.18387111682627,931.9540945431327
-77.18347111682627,933.6788598320223,-77.18347111682627,846.2583239746831,-77.18347111682627,920.1160637865031,-77.18347111682627,927.6229805025047,-77.18347111682627,932.0677315760424
-77.18307111682627,933.7926999186964,-77.18307111682627,846.4060178442835,-77.18307111682627,920.2304661126782,-77.18307111682627,927.7365745375585,-77.18307111682627,932.1811395693765
-77.18267111682627,933.9063106320275,-77.18267111682627,846.5535142796883,-77.18267111682627,920.3446428474454,-77.18267111682627,927.8499407025203,-77.18267111682627,932.2943184539963
-77.18227111682627,934.0196919027924,-77.18227111682627,846.7008131921796,-77.18227111682627,920.4585939212607,-77.18227111682627,927.9630789282853,-77.18227111682627,932.4072681609017
-77.18187111682627,934.1328436619069,-77.18187111682627,846.8479144931507,-77.18187111682627,920.5723192647152,-77.18187111682627,928.0759891458823,-77.18187111682627,932.5199886212291
-77.18147111682627,934.2457658404247,-77.18147111682627,846.9948180941128,-77.18147111682627,920.6858188085359,-77.18147111682627,928.188671286479,-77.18147111682627,932.632479766253
-77.18107111682627,934.3584583695339,-77.18107111682627,847.1415239066903,-77.18107111682627,920.7990924835842,-77.18107111682627,928.3011252813787,-77.18107111682627,932.7447415273851
-77.18067111682628,934.4709211805628,-77.18067111682628,847.2880318426231,-77.18067111682628,920.9121402208566,-77.18067111682628,928.4133510620218,-77.18067111682628,932.8567738361742
-77.18027111682628,934.5831542049783,-77.18027111682628,847.4343418137645,-77.18027111682628,921.0249619514856,-77.18027111682628,928.5253485599851,-77.18027111682628,932.9685766243069
-77.17987111682628,934.6951573743826,-77.17987111682628,847.5804537320845,-77.17987111682628,921.1375576067394,-77.17987111682628,928.6371177069827,-77.17987111682628,933.080149823607
-77.17947111682628,934.8069306205173,-77.17947111682628,847.7263675096661,-77.17947111682628,921.2499271180193,-77.17947111682628,928.7486584348662,-77.17947111682628,933.191493366039
-77.17907111682628,934.9184738752614,-77.17907111682628,847.872083058708,-77.17907111682628,921.3620704168644,-77.17907111682628,928.8599706756216,-77.17907111682628,933.3026071837007
-77.17867111682628,935.0297870706311,-77.17867111682628,848.017600291524,-77.17867111682628,921.4739874349486,-77.17867111682628,928.9710543613756,-77.17867111682628,933.4134912088301
-77.17827111682628,935.140870138783,-77.17827111682628,848.1629191205437,-77.17827111682628,921.5856781040807,-77.17827111682628,929.081909424389,-77.17827111682628,933.5241453738041
-77.17787111682627,935.2517230120089,-77.17787111682627,848.3080394583109,-77.17787111682627,921.6971423562054,-77.17787111682627,929.192535797061,-77.17787111682627,933.6345696111348
-77.17747111682627,935.3623456227396,-77.17747111682627,848.4529612174855,-77.17747111682627,921.8083801234047,-77.17747111682627,929.3029334119279,-77.17747111682627,933.7447638534745
-77.17707111682627,935.4727379035454,-77.17707111682627,848.5976843108414,-77.17707111682627,921.9193913378932,-77.17707111682627,929.4131022016641,-77.17707111682627,933.8547280336123
-77.17667111682627,935.5828997871339,-77.17667111682627,848.7422086512688,-77.17667111682627,922.0301759320233,-77.17667111682627,929.523042099079,-77.17667111682627,933.9644620844759
-77.17627111682627,935.6928312063498,-77.17627111682627,848.8865341517743,-77.17627111682627,922.1407338382836,-77.17627111682627,929.6327530371218,-77.17627111682627,934.0739659391326
-77.17587111682627,935.8025320941776,-77.17587111682627,849.0306607254781,-77.17587111682627,922.2510649892972,-77.17587111682627,929.7422349488779,-77.17587111682627,934.1832395307842
-77.17547111682627,935.9120023837396,-77.17547111682627,849.1745882856173,-77.17547111682627,922.3611693178248,-77.17547111682627,929.8514877675698,-77.17547111682627,934.2922827927736
-77.17507111682627,936.0212420082977,-77.17507111682627,849.3183167455445,-77.17507111682627,922.4710467567604,-77.17507111682627,929.9605114265578,-77.17507111682627,934.4010956585831
-77.17467111682627,936.1302509012507,-77.17467111682627,849.461846018728,-77.17467111682627,922.5806972391376,-77.17467111682627,930.0693058593414,-77.17467111682627,934.5096780618302
-77.17427111682628,936.2390289961353,-77.17427111682628,849.605176018751,-77.17427111682628,922.6901206981228,-77.17427111682628,930.1778709995543,-77.17427111682628,934.6180299362726
-77.17387111682628,936.3475762266306,-77.17387111682628,849.7483066593138,-77.17387111682628,922.7993170670206,-77.17387111682628,930.2862067809729,-77.17387111682628,934.7261512158061
-77.17347111682628,936.4558925265495,-77.17347111682628,849.8912378542329,-77.17347111682628,922.9082862792702,-77.17347111682628,930.3943131375058,-77.17347111682628,934.8340418344654
-77.17307111682628,936.5639778298464,-77.17307111682628,850.0339695174396,-77.17307111682628,923.0170282684495,-77.17307111682628,930.5021900032034,-77.17307111682628,934.9417017264242
-77.17267111682628,936.6718320706144,-77.17267111682628,850.176501562982,-77.17267111682628,923.1255429682709,-77.17267111682628,930.6098373122518,-77.17267111682628,935.0491308259924
-77.17227111682628,936.7794551830842,-77.17227111682628,850.3188339050239,-77.17227111682628,923.2338303125837,-77.17227111682628,930.7172549989766,-77.17227111682628,935.1563290676228
