time,est0,est1,est2,est4,est8
0.1,-76.99387111682627,-76.89936292480637,-76.9843354191921,-76.98912874642494,-76.99222038421328
0.2,-76.99387111682627,-76.89944375285945,-76.98438549750666,-76.98917449959069,-76.99224996787902
0.30000000000000004,-76.99387111682627,-76.89958115958957,-76.98446547705126,-76.9892466979373,-76.99229779692335
0.4,-76.99387111682627,-76.89976980112723,-76.98457470648994,-76.98934080620285,-76.99236422355293
0.5,-76.99387111682627,-76.90000865008717,-76.98471351113889,-76.98946322407268,-76.99244663867596
0.6000000000000001,-76.99387111682627,-76.90029348926734,-76.98487823185366,-76.98960692683953,-76.99254397844159
0.7000000000000001,-76.99387111682627,-76.90062261754613,-76.98506720822971,-76.9897698222462,-76.99265367446061
0.8,-76.99387111682627,-76.90099140494972,-76.98527615374675,-76.98994974558342,-76.99277404947705
0.9,-76.99387111682627,-76.90139578310558,-76.98550389041253,-76.99014414492812,-76.99290241843815
1.0,-76.99387111682627,-76.90183192124096,-76.98574624534504,-76.99034915816445,-76.99303637946906
1.1,-76.99387111380376,-76.90229515462211,-76.98600010014368,-76.99056096969375,-76.99317347635923
1.2000000000000002,-76.99387111682627,-76.90278144658302,-76.98626261601689,-76.99077703701205,-76.99331102457018
1.3,-76.99387111682627,-76.9032865825757,-76.98652996514987,-76.99099394310713,-76.99344674478513
1.4000000000000001,-76.99387111682627,-76.90380638880129,-76.98679977119014,-76.9912087120368,-76.99357844553451
1.5,-76.99387111682627,-76.90433734403413,-76.98706898221688,-76.9914183275239,-76.99370423053782
1.6,-76.99387111682627,-76.90487599662013,-76.98733509071032,-76.99162050309464,-76.9938216891444
1.7000000000000002,-76.99387111682627,-76.90541948085493,-76.98759583945525,-76.99181306851413,-76.99392999164988
1.8,-76.99387111682725,-76.90596498287442,-76.98784933857067,-76.99199412918847,-76.99402768250721
1.9000000000000001,-76.99387111682627,-76.90651043166048,-76.9880942039225,-76.99216223271024,-76.99411394057272
2.0,-76.99387111682627,-76.90705385677704,-76.98832911535233,-76.99231640664391,-76.99418807763824
2.1,-76.99387111682627,-76.90759413871066,-76.98855337030561,-76.99245599645522,-76.99424992266331
2.2,-76.99387111682627,-76.90813009976803,-76.9887665794316,-76.99258079423113,-76.99429951713893
2.3000000000000003,-76.99387113451606,-76.90866110350936,-76.98896863152618,-76.99269076555164,-76.99433713668273
2.4000000000000004,-76.99387111682627,-76.90918682579189,-76.98915976113612,-76.9927864798232,-76.99436340410807
2.5,-76.99387111199981,-76.90970713717623,-76.98934055470433,-76.99286856639549,-76.99437902320572
2.6,-76.99387110757203,-76.91022217354745,-76.9895116858879,-76.99293800872859,-76.99438494681797
2.7,-76.99387111682627,-76.91073229543156,-76.9896741770604,-76.99299595191566,-76.99438222446547
2.8000000000000003,-76.99387111154203,-76.91123793838895,-76.9898290532412,-76.99304369422646,-76.9943720260597
2.9000000000000004,-76.99387111682627,-76.91173959068944,-76.9899775909225,-76.99308266153082,-76.99435549430731
3.0,-76.99387111779721,-76.91223791353744,-76.9901209423114,-76.99311425699287,-76.9943338475438
