time,z0re,z0im,z1re,z1im,z2re,z2im,z4re,z4im,z8re,z8im
0.0,1.0000000000000029,0.0,1.0,0.0,1.0000000000000002,0.0,1.0,0.0,1.0000000000000004,0.0
0.1,0.9643562749756269,0.26460720873615473,0.9666755058561728,0.255445213719827,0.9645674812966217,0.26367673484390297,0.9644536138072113,0.2641426174846387,0.9643843650530223,0.2644438733849166
0.2,0.8599660501697255,0.5103512442969907,0.8689526377378847,0.4937402871771949,0.8607879279721672,0.5086348025995903,0.8603456130918502,0.5094856273809901,0.8600762086662197,0.5100405097231103
0.30000000000000004,0.6942710385187276,0.7197136410226872,0.7134298080034989,0.6988990442127258,0.6960361859804401,0.7174867046690595,0.6950891501674734,0.718568460938591,0.6945107976022539,0.7192862024603744
0.4,0.47908321488903094,0.877769487514573,0.5106034735282036,0.8571835785978081,0.4820192142756728,0.8754125255089821,0.48045125728729676,0.876513220129467,0.47948988260039255,0.8772685297188623
0.5,0.22974277050873698,0.9732513855109455,0.2741529456200558,0.9580347318746145,0.23394314925656315,0.9712135878249324,0.23171457109615495,0.9720842946708687,0.23034039300218204,0.9727293835028559
0.6000000000000001,-0.035975450148260646,0.9993526739778282,0.020008863767982176,0.9947851703357605,-0.030568529964591692,0.9981083591118434,-0.03341137084827892,0.9984884697858775,-0.03517816532516495,0.99886749381078
0.7000000000000001,-0.2991290726998327,0.9542126586174304,-0.23473074427922033,0.9651064592852862,-0.2927287100180975,0.9542139767571,-0.29605168451498265,0.9538585236534499,-0.29813972019170526,0.953823238253759
0.8,-0.5409585464231852,0.8410492560199555,-0.47296248556027165,0.8711598410884118,-0.5339229674589887,0.8426791479651664,-0.5375106526619271,0.8413858686496114,-0.5398008010756942,0.8408111768007815
0.9,-0.7442244647899509,0.6679295965954177,-0.6787380993428512,0.7194408018349008,-0.7370333759562343,0.6714590072892996,-0.7406033959099595,0.6690927999071345,-0.7429366865126606,0.6678908640040062
1.0,-0.8944365187979427,0.4471949394175022,-0.8383440317644341,0.5203285498905629,-0.8876555650216494,0.4527480099095118,-0.890879819036721,0.4492605959997465,-0.8930692807468367,0.44739227728303815
