Coefficient,Term,Coefficient type
-74.29001908182784,I,<class 'numpy.float64'>
-0.4008025832805215,Z11,<class 'numpy.float64'>
-0.4008025736742264,Z10,<class 'numpy.float64'>
0.1612612356076495,Z10 Z11,<class 'numpy.float64'>
0.0125277111290429,X9 X11,<class 'numpy.float64'>
0.0101101799723075,X9 Z10 X11,<class 'numpy.float64'>
0.0125277111290429,Y9 Y11,<class 'numpy.float64'>
0.0101101799723075,Y9 Z10 Y11,<class 'numpy.float64'>
-0.270235412901901,Z9,<class 'numpy.float64'>
0.0966395061349851,Z9 Z11,<class 'numpy.float64'>
0.104081726896425,Z9 Z10,<class 'numpy.float64'>
5.962819911032968e-05,X8 X10,<class 'numpy.float64'>
-0.0074422208655267,X8 X9 Y10 Y11,<class 'numpy.float64'>
0.0074422208655267,X8 Y9 Y10 X11,<class 'numpy.float64'>
0.0101101765347009,X8 Z9 X10,<class 'numpy.float64'>
0.0125277151441276,X8 Z9 X10 Z11,<class 'numpy.float64'>
5.962819911032968e-05,Y8 Y10,<class 'numpy.float64'>
0.0074422208655267,Y8 X9 X10 Y11,<class 'numpy.float64'>
-0.0074422208655267,Y8 Y9 X10 X11,<class 'numpy.float64'>
0.0101101765347009,Y8 Z9 Y10,<class 'numpy.float64'>
0.0125277151441276,Y8 Z9 Y10 Z11,<class 'numpy.float64'>
-0.2702354248125542,Z8,<class 'numpy.float64'>
0.104081723614334,Z8 Z11,<class 'numpy.float64'>
0.09663950264472,Z8 Z10,<class 'numpy.float64'>
5.962819228570673e-05,Z8 X9 Z10 X11,<class 'numpy.float64'>
5.962819228570673e-05,Z8 Y9 Z10 Y11,<class 'numpy.float64'>
0.0949428845164939,Z8 Z9,<class 'numpy.float64'>
-0.0579682701190284,Z7,<class 'numpy.float64'>
0.1208646469289144,Z7 Z11,<class 'numpy.float64'>
0.1284583093320999,Z7 Z10,<class 'numpy.float64'>
0.0033663963643381,Z7 X9 Z10 X11,<class 'numpy.float64'>
0.0033663963643381,Z7 Y9 Z10 Y11,<class 'numpy.float64'>
0.0872181525380798,Z7 Z9,<class 'numpy.float64'>
