Coefficient,Term,Coefficient type
-74.31590521421175,I,<class 'numpy.float64'>
-0.423355224816662,Z11,<class 'numpy.float64'>
-0.4233552230308492,Z10,<class 'numpy.float64'>
0.1611352107056738,Z10 Z11,<class 'numpy.float64'>
0.0125909114613678,X9 X11,<class 'numpy.float64'>
0.0041904747419303,X9 Z10 X11,<class 'numpy.float64'>
0.0125909114613678,Y9 Y11,<class 'numpy.float64'>
0.0041904747419303,Y9 Z10 Y11,<class 'numpy.float64'>
-0.27724876326082,Z9,<class 'numpy.float64'>
0.0966632686029181,Z9 Z11,<class 'numpy.float64'>
0.104147471624452,Z9 Z10,<class 'numpy.float64'>
0.0001502387059173,X8 X10,<class 'numpy.float64'>
-0.0074842028543041,X8 X9 Y10 Y11,<class 'numpy.float64'>
0.0074842028543041,X8 Y9 Y10 X11,<class 'numpy.float64'>
0.0041904755907767,X8 Z9 X10,<class 'numpy.float64'>
0.0125909110744529,X8 Z9 X10 Z11,<class 'numpy.float64'>
0.0001502387059173,Y8 Y10,<class 'numpy.float64'>
0.0074842028543041,Y8 X9 X10 Y11,<class 'numpy.float64'>
-0.0074842028543041,Y8 Y9 X10 X11,<class 'numpy.float64'>
0.0041904755907767,Y8 Z9 Y10,<class 'numpy.float64'>
0.0125909110744529,Y8 Z9 Y10 Z11,<class 'numpy.float64'>
-0.2772487648077401,Z8,<class 'numpy.float64'>
0.104147470739237,Z8 Z11,<class 'numpy.float64'>
0.0966632680521626,Z8 Z10,<class 'numpy.float64'>
0.0001502386342724,Z8 X9 Z10 X11,<class 'numpy.float64'>
0.0001502386342724,Z8 Y9 Z10 Y11,<class 'numpy.float64'>
0.0948182029538452,Z8 Z9,<class 'numpy.float64'>
-0.0572390892346769,Z7,<class 'numpy.float64'>
0.1200668993127903,Z7 Z11,<class 'numpy.float64'>
0.1272508454521688,Z7 Z10,<class 'numpy.float64'>
0.0038169847832513,Z7 X9 Z10 X11,<class 'numpy.float64'>
0.0038169847832513,Z7 Y9 Z10 Y11,<class 'numpy.float64'>
0.0870444246390436,Z7 Z9,<class 'numpy.float64'>
0.0078307874051703,Z7 X8 Z9 X10,<class 'numpy.float64'>
0.0078307874051703,Z7 Y8 Z9 Y10,<class 'numpy.float64'>
0.0972993359670278,Z7 Z8,<class 'numpy.float64'>
-0.0071839464405471,X6 X7 Y10 Y11,<class 'numpy.float64'>
0.0040138033271963,X6 X7 X9 X10,<class 'numpy.float64'>
-0.0102549112901513,X6 X7 Y8 Y9,<class 'numpy.float64'>
0.0040138033624863,X6 X7 Y8 Z9 Z10 Y11,<class 'numpy.float64'>
0.0071839464405471,X6 Y7 Y10 X11,<class 'numpy.float64'>
0.0040138033271963,X6 Y7 Y9 X10,<class 'numpy.float64'>
0.0102549112901513,X6 Y7 Y8 X9,<class 'numpy.float64'>
-0.0040138033624863,X6 Y7 Y8 Z9 Z10 X11,<class 'numpy.float64'>
0.0071839464405471,Y6 X7 X10 Y11,<class 'numpy.float64'>
0.0040138033271963,Y6 X7 X9 Y10,<class 'numpy.float64'>
0.0102549112901513,Y6 X7 X8 Y9,<class 'numpy.float64'>
-0.0040138033624863,Y6 X7 X8 Z9 Z10 Y11,<class 'numpy.float64'>
-0.0071839464405471,Y6 Y7 X10 X11,<class 'numpy.float64'>
0.0040138033271963,Y6 Y7 Y9 Y10,<class 'numpy.float64'>
-0.0102549112901513,Y6 Y7 X8 X9,<class 'numpy.float64'>
0.0040138033624863,Y6 Y7 X8 Z9 Z10 X11,<class 'numpy.float64'>
-0.0572390949714032,Z6,<class 'numpy.float64'>
0.1272508517007243,Z6 Z11,<class 'numpy.float64'>
0.1200669049590083,Z6 Z10,<class 'numpy.float64'>
0.0078307891885428,Z6 X9 Z10 X11,<class 'numpy.float64'>
0.0078307891885428,Z6 Y9 Z10 Y11,<class 'numpy.float64'>
0.0972993376582455,Z6 Z9,<class 'numpy.float64'>
0.0038169851207791,Z6 X8 Z9 X10,<class 'numpy.float64'>
0.0038169851207791,Z6 Y8 Z9 Y10,<class 'numpy.float64'>
0.0870444264059262,Z6 Z8,<class 'numpy.float64'>
0.1179182244566014,Z6 Z7,<class 'numpy.float64'>
-0.0343331835502375,Z5,<class 'numpy.float64'>
0.1201422732134777,Z5 Z11,<class 'numpy.float64'>
0.1270561704370339,Z5 Z10,<class 'numpy.float64'>
0.0043071401958604,Z5 X9 Z10 X11,<class 'numpy.float64'>
0.0043071401958604,Z5 Y9 Z10 Y11,<class 'numpy.float64'>
0.0871312733162515,Z5 Z9,<class 'numpy.float64'>
0.0080660152219664,Z5 X8 Z9 X10,<class 'numpy.float64'>
0.0080660152219664,Z5 Y8 Z9 Y10,<class 'numpy.float64'>
0.0968874639003355,Z5 Z8,<class 'numpy.float64'>
0.0861650988405014,Z5 Z7,<class 'numpy.float64'>
0.1169341888294059,Z5 Z6,<class 'numpy.float64'>
-0.0069138968449696,X4 X5 Y10 Y11,<class 'numpy.float64'>
0.0037588749028894,X4 X5 X9 X10,<class 'numpy.float64'>
-0.0097561916733496,X4 X5 Y8 Y9,<class 'numpy.float64'>
0.0037588746356582,X4 X5 Y8 Z9 Z10 Y11,<class 'numpy.float64'>
-0.0307690853908558,X4 X5 Y6 Y7,<class 'numpy.float64'>
0.0069138968449696,X4 Y5 Y10 X11,<class 'numpy.float64'>
0.0037588749028894,X4 Y5 Y9 X10,<class 'numpy.float64'>
0.0097561916733496,X4 Y5 Y8 X9,<class 'numpy.float64'>
-0.0037588746356582,X4 Y5 Y8 Z9 Z10 X11,<class 'numpy.float64'>
0.0307690853908558,X4 Y5 Y6 X7,<class 'numpy.float64'>
0.0069138968449696,Y4 X5 X10 Y11,<class 'numpy.float64'>
0.0037588749028894,Y4 X5 X9 Y10,<class 'numpy.float64'>
0.0097561916733496,Y4 X5 X8 Y9,<class 'numpy.float64'>
-0.0037588746356582,Y4 X5 X8 Z9 Z10 Y11,<class 'numpy.float64'>
