Coefficient,Term,Coefficient type
-74.213250796757,I,<class 'numpy.float64'>
-0.4250184543537932,Z11,<class 'numpy.float64'>
-0.4250184468724658,Z10,<class 'numpy.float64'>
0.161204195577831,Z10 Z11,<class 'numpy.float64'>
-0.2935455115350205,Z9,<class 'numpy.float64'>
0.1099264768413957,Z9 Z11,<class 'numpy.float64'>
0.1158420461436492,Z9 Z10,<class 'numpy.float64'>
-0.0059155685423275,X8 X9 Y10 Y11,<class 'numpy.float64'>
0.0059155685423275,X8 Y9 Y10 X11,<class 'numpy.float64'>
0.0059155685423275,Y8 X9 X10 Y11,<class 'numpy.float64'>
-0.0059155685423275,Y8 Y9 X10 X11,<class 'numpy.float64'>
-0.2935455071662977,Z8,<class 'numpy.float64'>
0.1158420333383791,Z8 Z11,<class 'numpy.float64'>
0.1099264655559772,Z8 Z10,<class 'numpy.float64'>
0.1029504331117543,Z8 Z9,<class 'numpy.float64'>
-0.0030292399216172,X7 X9,<class 'numpy.float64'>
-0.0016237693203078,X7 X8 X10 X11,<class 'numpy.float64'>
-0.0016237693203078,X7 Y8 Y10 X11,<class 'numpy.float64'>
0.0010928167842976,X7 Z8 X9,<class 'numpy.float64'>
-0.0060438121872312,X7 Z8 X9 Z11,<class 'numpy.float64'>
-0.0076675825322736,X7 Z8 X9 Z10,<class 'numpy.float64'>
-0.0030292399216172,Y7 Y9,<class 'numpy.float64'>
-0.0016237693203078,Y7 X8 X10 Y11,<class 'numpy.float64'>
-0.0016237693203078,Y7 Y8 Y10 Y11,<class 'numpy.float64'>
0.0010928167842976,Y7 Z8 Y9,<class 'numpy.float64'>
-0.0060438121872312,Y7 Z8 Y9 Z11,<class 'numpy.float64'>
-0.0076675825322736,Y7 Z8 Y9 Z10,<class 'numpy.float64'>
-0.0950667324844319,Z7,<class 'numpy.float64'>
0.1220933944167388,Z7 Z11,<class 'numpy.float64'>
0.1301557954656034,Z7 Z10,<class 'numpy.float64'>
0.0984604022410157,Z7 Z9,<class 'numpy.float64'>
0.1030659602498473,Z7 Z8,<class 'numpy.float64'>
-0.0084064811462644,X6 X8,<class 'numpy.float64'>
-0.0080624016245331,X6 X7 Y10 Y11,<class 'numpy.float64'>
-0.0046055667780093,X6 X7 Y8 Y9,<class 'numpy.float64'>
0.0080624016245331,X6 Y7 Y10 X11,<class 'numpy.float64'>
0.0046055667780093,X6 Y7 Y8 X9,<class 'numpy.float64'>
0.0010928345183394,X6 Z7 X8,<class 'numpy.float64'>
-0.0076675795554664,X6 Z7 X8 Z11,<class 'numpy.float64'>
-0.0060438097155745,X6 Z7 X8 Z10,<class 'numpy.float64'>
-0.003029241960975,X6 Z7 X8 Z9,<class 'numpy.float64'>
-0.0016237708646265,X6 Z7 Z8 X9 Y10 Y11,<class 'numpy.float64'>
0.0016237708646265,X6 Z7 Z8 Y9 Y10 X11,<class 'numpy.float64'>
-0.0084064811462644,Y6 Y8,<class 'numpy.float64'>
0.0080624016245331,Y6 X7 X10 Y11,<class 'numpy.float64'>
0.0046055667780093,Y6 X7 X8 Y9,<class 'numpy.float64'>
-0.0080624016245331,Y6 Y7 X10 X11,<class 'numpy.float64'>
-0.0046055667780093,Y6 Y7 X8 X9,<class 'numpy.float64'>
0.0010928345183394,Y6 Z7 Y8,<class 'numpy.float64'>
-0.0076675795554664,Y6 Z7 Y8 Z11,<class 'numpy.float64'>
-0.0060438097155745,Y6 Z7 Y8 Z10,<class 'numpy.float64'>
-0.003029241960975,Y6 Z7 Y8 Z9,<class 'numpy.float64'>
0.0016237708646265,Y6 Z7 Z8 X9 X10 Y11,<class 'numpy.float64'>
-0.0016237708646265,Y6 Z7 Z8 Y9 X10 X11,<class 'numpy.float64'>
-0.0950667269934438,Z6,<class 'numpy.float64'>
0.1301557996583052,Z6 Z11,<class 'numpy.float64'>
0.1220933974581033,Z6 Z10,<class 'numpy.float64'>
0.1030659715561772,Z6 Z9,<class 'numpy.float64'>
0.0984603960089884,Z6 Z8,<class 'numpy.float64'>
-0.008406485958031,Z6 X7 Z8 X9,<class 'numpy.float64'>
-0.008406485958031,Z6 Y7 Z8 Y9,<class 'numpy.float64'>
0.1240614798242851,Z6 Z7,<class 'numpy.float64'>
0.012605709489848,Z5,<class 'numpy.float64'>
0.1219675536287318,Z5 Z11,<class 'numpy.float64'>
0.1286649389995086,Z5 Z10,<class 'numpy.float64'>
0.0956626386556207,Z5 Z9,<class 'numpy.float64'>
0.1018465509575651,Z5 Z8,<class 'numpy.float64'>
0.0011269962384143,Z5 X7 Z8 X9,<class 'numpy.float64'>
0.0011269962384143,Z5 Y7 Z8 Y9,<class 'numpy.float64'>
0.0856029500021749,Z5 Z7,<class 'numpy.float64'>
-0.0073107180955476,Z5 X6 Z7 X8,<class 'numpy.float64'>
-0.0073107180955476,Z5 Y6 Z7 Y8,<class 'numpy.float64'>
0.1209164853995655,Z5 Z6,<class 'numpy.float64'>
-0.0066973854953043,X4 X5 Y10 Y11,<class 'numpy.float64'>
-0.0061839215763317,X4 X5 Y8 Y9,<class 'numpy.float64'>
-0.0084377129303299,X4 X5 X7 X8,<class 'numpy.float64'>
-0.0353135307372899,X4 X5 Y6 Y7,<class 'numpy.float64'>
-0.0084377167841459,X4 X5 Y6 Z7 Z8 Y9,<class 'numpy.float64'>
0.0066973854953043,X4 Y5 Y10 X11,<class 'numpy.float64'>
0.0061839215763317,X4 Y5 Y8 X9,<class 'numpy.float64'>
-0.0084377129303299,X4 Y5 Y7 X8,<class 'numpy.float64'>
0.0353135307372899,X4 Y5 Y6 X7,<class 'numpy.float64'>
0.0084377167841459,X4 Y5 Y6 Z7 Z8 X9,<class 'numpy.float64'>
0.0066973854953043,Y4 X5 X10 Y11,<class 'numpy.float64'>
0.0061839215763317,Y4 X5 X8 Y9,<class 'numpy.float64'>
-0.0084377129303299,Y4 X5 X7 Y8,<class 'numpy.float64'>
0.0353135307372899,Y4 X5 X6 Y7,<class 'numpy.float64'>
0.0084377167841459,Y4 X5 X6 Z7 Z8 Y9,<class 'numpy.float64'>
-0.0066973854953043,Y4 Y5 X10 X11,<class 'numpy.float64'>
-0.0061839215763317,Y4 Y5 X8 X9,<class 'numpy.float64'>
-0.0084377129303299,Y4 Y5 Y7 Y8,<class 'numpy.float64'>
-0.0353135307372899,Y4 Y5 X6 X7,<class 'numpy.float64'>
-0.0084377167841459,Y4 Y5 X6 Z7 Z8 X9,<class 'numpy.float64'>
0.0126057176432197,Z4,<class 'numpy.float64'>
0.1286649333382441,Z4 Z11,<class 'numpy.float64'>
0.1219675477184121,Z4 Z10,<class 'numpy.float64'>
0.1018465586694035,Z4 Z9,<class 'numpy.float64'>
0.0956626278186842,Z4 Z8,<class 'numpy.float64'>
-0.0073107190615614,Z4 X7 Z8 X9,<class 'numpy.float64'>
-0.0073107190615614,Z4 Y7 Z8 Y9,<class 'numpy.float64'>
0.1209164765129373,Z4 Z7,<class 'numpy.float64'>
0.0011269963189518,Z4 X6 Z7 X8,<class 'numpy.float64'>
0.0011269963189518,Z4 Y6 Z7 Y8,<class 'numpy.float64'>
0.0856029504357471,Z4 Z6,<class 'numpy.float64'>
0.1198607422430093,Z4 Z5,<class 'numpy.float64'>
0.0011137414939324,X3 X4 Y9 Y10,<class 'numpy.float64'>
-0.0060719034009858,X3 X4 X8 Z9 Z10 X11,<class 'numpy.float64'>
-0.003057710787196,X3 X4 Y7 Z8 Z9 Y10,<class 'numpy.float64'>
-0.0225370606377827,X3 X4 X6 Z7 Z8 Z9 Z10 X11,<class 'numpy.float64'>
-0.0011137414939324,X3 Y4 Y9 X10,<class 'numpy.float64'>
-0.0060719034009858,X3 Y4 Y8 Z9 Z10 X11,<class 'numpy.float64'>
0.003057710787196,X3 Y4 Y7 Z8 Z9 X10,<class 'numpy.float64'>
-0.0225370606377827,X3 Y4 Y6 Z7 Z8 Z9 Z10 X11,<class 'numpy.float64'>
-0.004551209220664,X3 Z4 X5 X9 Z10 X11,<class 'numpy.float64'>
0.0026344376365894,X3 Z4 X5 Y9 Z10 Y11,<class 'numpy.float64'>
0.0015206963637837,X3 Z4 X5 X8 Z9 X10,<class 'numpy.float64'>
0.0015206963637837,X3 Z4 X5 Y8 Z9 Y10,<class 'numpy.float64'>
-0.017968893863596,X3 Z4 X5 X7 Z8 Z9 Z10 X11,<class 'numpy.float64'>
0.0015104570441803,X3 Z4 X5 Y7 Z8 Z9 Z10 Y11,<class 'numpy.float64'>
0.0045681678121187,X3 Z4 X5 X6 Z7 Z8 Z9 X10,<class 'numpy.float64'>
0.0045681678121187,X3 Z4 X5 Y6 Z7 Z8 Z9 Y10,<class 'numpy.float64'>
-0.0071856468572534,X3 Z4 Y5 Y9 Z10 X11,<class 'numpy.float64'>
-0.0194793509077764,X3 Z4 Y5 Y7 Z8 Z9 Z10 X11,<class 'numpy.float64'>
-0.0011137414939324,Y3 X4 X9 Y10,<class 'numpy.float64'>
-0.0060719034009858,Y3 X4 X8 Z9 Z10 Y11,<class 'numpy.float64'>
0.003057710787196,Y3 X4 X7 Z8 Z9 Y10,<class 'numpy.float64'>
-0.0225370606377827,Y3 X4 X6 Z7 Z8 Z9 Z10 Y11,<class 'numpy.float64'>
0.0011137414939324,Y3 Y4 X9 X10,<class 'numpy.float64'>
-0.0060719034009858,Y3 Y4 Y8 Z9 Z10 Y11,<class 'numpy.float64'>
-0.003057710787196,Y3 Y4 X7 Z8 Z9 X10,<class 'numpy.float64'>
-0.0225370606377827,Y3 Y4 Y6 Z7 Z8 Z9 Z10 Y11,<class 'numpy.float64'>
-0.0071856468572534,Y3 Z4 X5 X9 Z10 Y11,<class 'numpy.float64'>
-0.0194793509077764,Y3 Z4 X5 X7 Z8 Z9 Z10 Y11,<class 'numpy.float64'>
0.0026344376365894,Y3 Z4 Y5 X9 Z10 X11,<class 'numpy.float64'>
-0.004551209220664,Y3 Z4 Y5 Y9 Z10 Y11,<class 'numpy.float64'>
0.0015206963637837,Y3 Z4 Y5 X8 Z9 X10,<class 'numpy.float64'>
0.0015206963637837,Y3 Z4 Y5 Y8 Z9 Y10,<class 'numpy.float64'>
0.0015104570441803,Y3 Z4 Y5 X7 Z8 Z9 Z10 X11,<class 'numpy.float64'>
-0.017968893863596,Y3 Z4 Y5 Y7 Z8 Z9 Z10 Y11,<class 'numpy.float64'>
0.0045681678121187,Y3 Z4 Y5 X6 Z7 Z8 Z9 X10,<class 'numpy.float64'>
0.0045681678121187,Y3 Z4 Y5 Y6 Z7 Z8 Z9 Y10,<class 'numpy.float64'>
0.1356974377691769,Z3,<class 'numpy.float64'>
0.1063404665200861,Z3 Z11,<class 'numpy.float64'>
0.1302172771597938,Z3 Z10,<class 'numpy.float64'>
0.0942651686427489,Z3 Z9,<class 'numpy.float64'>
0.102994032716552,Z3 Z8,<class 'numpy.float64'>
-0.0064630626655636,Z3 X7 Z8 X9,<class 'numpy.float64'>
-0.0064630626655636,Z3 Y7 Z8 Y9,<class 'numpy.float64'>
0.106038824689497,Z3 Z7,<class 'numpy.float64'>
-0.0040223768370003,Z3 X6 Z7 X8,<class 'numpy.float64'>
-0.0040223768370003,Z3 Y6 Z7 Y8,<class 'numpy.float64'>
0.1104776405005329,Z3 Z6,<class 'numpy.float64'>
0.1038949361362327,Z3 Z5,<class 'numpy.float64'>
0.1097000205127778,Z3 Z4,<class 'numpy.float64'>
-0.0238768113540507,X2 X3 Y10 Y11,<class 'numpy.float64'>
-0.0087288715490794,X2 X3 Y8 Y9,<class 'numpy.float64'>
0.0024406846388134,X2 X3 X7 X8,<class 'numpy.float64'>
-0.0044388134701035,X2 X3 Y6 Y7,<class 'numpy.float64'>
0.0024406822258296,X2 X3 Y6 Z7 Z8 Y9,<class 'numpy.float64'>
-0.0058050877980581,X2 X3 Y4 Y5,<class 'numpy.float64'>
0.0238768113540507,X2 Y3 Y10 X11,<class 'numpy.float64'>
0.0087288715490794,X2 Y3 Y8 X9,<class 'numpy.float64'>
0.0024406846388134,X2 Y3 Y7 X8,<class 'numpy.float64'>
0.0044388134701035,X2 Y3 Y6 X7,<class 'numpy.float64'>
-0.0024406822258296,X2 Y3 Y6 Z7 Z8 X9,<class 'numpy.float64'>
0.0058050877980581,X2 Y3 Y4 X5,<class 'numpy.float64'>
0.0015206967063238,X2 Z3 X4 X9 Z10 X11,<class 'numpy.float64'>
0.0015206967063238,X2 Z3 X4 Y9 Z10 Y11,<class 'numpy.float64'>
-0.0045512077237278,X2 Z3 X4 X8 Z9 X10,<class 'numpy.float64'>
0.0026344376241526,X2 Z3 X4 Y8 Z9 Y10,<class 'numpy.float64'>
0.0045681667222863,X2 Z3 X4 X7 Z8 Z9 Z10 X11,<class 'numpy.float64'>
0.0045681667222863,X2 Z3 X4 Y7 Z8 Z9 Z10 Y11,<class 'numpy.float64'>
-0.0179688939746231,X2 Z3 X4 X6 Z7 Z8 Z9 X10,<class 'numpy.float64'>
