Coefficient,Term,Coefficient type
-74.213250796757,I,<class 'numpy.float64'>
-0.4250184543538211,Z11,<class 'numpy.float64'>
-0.4250184468724692,Z10,<class 'numpy.float64'>
0.1612041955778297,Z10 Z11,<class 'numpy.float64'>
-0.2935455115350217,Z9,<class 'numpy.float64'>
0.1099264768414018,Z9 Z11,<class 'numpy.float64'>
0.1158420461436568,Z9 Z10,<class 'numpy.float64'>
-0.005915568542327,X8 X9 Y10 Y11,<class 'numpy.float64'>
0.005915568542327,X8 Y9 Y10 X11,<class 'numpy.float64'>
0.005915568542327,Y8 X9 X10 Y11,<class 'numpy.float64'>
-0.005915568542327,Y8 Y9 X10 X11,<class 'numpy.float64'>
-0.2935455071663038,Z8,<class 'numpy.float64'>
0.1158420333383671,Z8 Z11,<class 'numpy.float64'>
0.1099264655559679,Z8 Z10,<class 'numpy.float64'>
0.1029504331117528,Z8 Z9,<class 'numpy.float64'>
-0.0030292399216106,X7 X9,<class 'numpy.float64'>
-0.0016237693203065,X7 X8 X10 X11,<class 'numpy.float64'>
-0.0016237693203065,X7 Y8 Y10 X11,<class 'numpy.float64'>
0.0010928167843139,X7 Z8 X9,<class 'numpy.float64'>
-0.0060438121872211,X7 Z8 X9 Z11,<class 'numpy.float64'>
-0.0076675825322617,X7 Z8 X9 Z10,<class 'numpy.float64'>
-0.0030292399216106,Y7 Y9,<class 'numpy.float64'>
-0.0016237693203065,Y7 X8 X10 Y11,<class 'numpy.float64'>
-0.0016237693203065,Y7 Y8 Y10 Y11,<class 'numpy.float64'>
0.0010928167843139,Y7 Z8 Y9,<class 'numpy.float64'>
-0.0060438121872211,Y7 Z8 Y9 Z11,<class 'numpy.float64'>
-0.0076675825322617,Y7 Z8 Y9 Z10,<class 'numpy.float64'>
-0.095066732484459,Z7,<class 'numpy.float64'>
0.1220933944167448,Z7 Z11,<class 'numpy.float64'>
0.1301557954656104,Z7 Z10,<class 'numpy.float64'>
0.0984604022410255,Z7 Z9,<class 'numpy.float64'>
0.103065960249841,Z7 Z8,<class 'numpy.float64'>
-0.0084064811462649,X6 X8,<class 'numpy.float64'>
-0.0080624016245333,X6 X7 Y10 Y11,<class 'numpy.float64'>
-0.0046055667780073,X6 X7 Y8 Y9,<class 'numpy.float64'>
0.0080624016245333,X6 Y7 Y10 X11,<class 'numpy.float64'>
0.0046055667780073,X6 Y7 Y8 X9,<class 'numpy.float64'>
0.0010928345183494,X6 Z7 X8,<class 'numpy.float64'>
-0.0076675795554676,X6 Z7 X8 Z11,<class 'numpy.float64'>
-0.0060438097155756,X6 Z7 X8 Z10,<class 'numpy.float64'>
-0.0030292419609762,X6 Z7 X8 Z9,<class 'numpy.float64'>
-0.0016237708646262,X6 Z7 Z8 X9 Y10 Y11,<class 'numpy.float64'>
0.0016237708646262,X6 Z7 Z8 Y9 Y10 X11,<class 'numpy.float64'>
-0.0084064811462649,Y6 Y8,<class 'numpy.float64'>
0.0080624016245333,Y6 X7 X10 Y11,<class 'numpy.float64'>
0.0046055667780073,Y6 X7 X8 Y9,<class 'numpy.float64'>
-0.0080624016245333,Y6 Y7 X10 X11,<class 'numpy.float64'>
-0.0046055667780073,Y6 Y7 X8 X9,<class 'numpy.float64'>
0.0010928345183494,Y6 Z7 Y8,<class 'numpy.float64'>
-0.0076675795554676,Y6 Z7 Y8 Z11,<class 'numpy.float64'>
-0.0060438097155756,Y6 Z7 Y8 Z10,<class 'numpy.float64'>
-0.0030292419609762,Y6 Z7 Y8 Z9,<class 'numpy.float64'>
0.0016237708646262,Y6 Z7 Z8 X9 X10 Y11,<class 'numpy.float64'>
-0.0016237708646262,Y6 Z7 Z8 Y9 X10 X11,<class 'numpy.float64'>
-0.0950667269934419,Z6,<class 'numpy.float64'>
0.1301557996583046,Z6 Z11,<class 'numpy.float64'>
0.1220933974581035,Z6 Z10,<class 'numpy.float64'>
0.1030659715561822,Z6 Z9,<class 'numpy.float64'>
0.0984603960089813,Z6 Z8,<class 'numpy.float64'>
-0.0084064859580225,Z6 X7 Z8 X9,<class 'numpy.float64'>
-0.0084064859580225,Z6 Y7 Z8 Y9,<class 'numpy.float64'>
0.1240614798242915,Z6 Z7,<class 'numpy.float64'>
0.012605709489837,Z5,<class 'numpy.float64'>
0.1219675536287271,Z5 Z11,<class 'numpy.float64'>
0.1286649389995044,Z5 Z10,<class 'numpy.float64'>
0.0956626386556231,Z5 Z9,<class 'numpy.float64'>
0.101846550957556,Z5 Z8,<class 'numpy.float64'>
0.0011269962384222,Z5 X7 Z8 X9,<class 'numpy.float64'>
0.0011269962384222,Z5 Y7 Z8 Y9,<class 'numpy.float64'>
0.0856029500021734,Z5 Z7,<class 'numpy.float64'>
-0.0073107180955474,Z5 X6 Z7 X8,<class 'numpy.float64'>
-0.0073107180955474,Z5 Y6 Z7 Y8,<class 'numpy.float64'>
0.1209164853995619,Z5 Z6,<class 'numpy.float64'>
-0.0066973854953038,X4 X5 Y10 Y11,<class 'numpy.float64'>
-0.0061839215763312,X4 X5 Y8 Y9,<class 'numpy.float64'>
-0.0084377129303266,X4 X5 X7 X8,<class 'numpy.float64'>
-0.0353135307372911,X4 X5 Y6 Y7,<class 'numpy.float64'>
-0.0084377167841433,X4 X5 Y6 Z7 Z8 Y9,<class 'numpy.float64'>
0.0066973854953038,X4 Y5 Y10 X11,<class 'numpy.float64'>
0.0061839215763312,X4 Y5 Y8 X9,<class 'numpy.float64'>
-0.0084377129303266,X4 Y5 Y7 X8,<class 'numpy.float64'>
0.0353135307372911,X4 Y5 Y6 X7,<class 'numpy.float64'>
0.0084377167841433,X4 Y5 Y6 Z7 Z8 X9,<class 'numpy.float64'>
0.0066973854953038,Y4 X5 X10 Y11,<class 'numpy.float64'>
0.0061839215763312,Y4 X5 X8 Y9,<class 'numpy.float64'>
-0.0084377129303266,Y4 X5 X7 Y8,<class 'numpy.float64'>
0.0353135307372911,Y4 X5 X6 Y7,<class 'numpy.float64'>
0.0084377167841433,Y4 X5 X6 Z7 Z8 Y9,<class 'numpy.float64'>
-0.0066973854953038,Y4 Y5 X10 X11,<class 'numpy.float64'>
-0.0061839215763312,Y4 Y5 X8 X9,<class 'numpy.float64'>
-0.0084377129303266,Y4 Y5 Y7 Y8,<class 'numpy.float64'>
-0.0353135307372911,Y4 Y5 X6 X7,<class 'numpy.float64'>
-0.0084377167841433,Y4 Y5 X6 Z7 Z8 X9,<class 'numpy.float64'>
0.0126057176432156,Z4,<class 'numpy.float64'>
0.1286649333382416,Z4 Z11,<class 'numpy.float64'>
0.1219675477184109,Z4 Z10,<class 'numpy.float64'>
0.1018465586694079,Z4 Z9,<class 'numpy.float64'>
0.095662627818678,Z4 Z8,<class 'numpy.float64'>
-0.0073107190615512,Z4 X7 Z8 X9,<class 'numpy.float64'>
-0.0073107190615512,Z4 Y7 Z8 Y9,<class 'numpy.float64'>
0.1209164765129423,Z4 Z7,<class 'numpy.float64'>
0.0011269963189485,Z4 X6 Z7 X8,<class 'numpy.float64'>
0.0011269963189485,Z4 Y6 Z7 Y8,<class 'numpy.float64'>
0.0856029504357476,Z4 Z6,<class 'numpy.float64'>
0.1198607422430044,Z4 Z5,<class 'numpy.float64'>
0.0011137414939338,X3 X4 Y9 Y10,<class 'numpy.float64'>
-0.0060719034009824,X3 X4 X8 Z9 Z10 X11,<class 'numpy.float64'>
-0.0030577107871966,X3 X4 Y7 Z8 Z9 Y10,<class 'numpy.float64'>
-0.0225370606377813,X3 X4 X6 Z7 Z8 Z9 Z10 X11,<class 'numpy.float64'>
-0.0011137414939338,X3 Y4 Y9 X10,<class 'numpy.float64'>
-0.0060719034009824,X3 Y4 Y8 Z9 Z10 X11,<class 'numpy.float64'>
0.0030577107871966,X3 Y4 Y7 Z8 Z9 X10,<class 'numpy.float64'>
-0.0225370606377813,X3 Y4 Y6 Z7 Z8 Z9 Z10 X11,<class 'numpy.float64'>
-0.0045512092206629,X3 Z4 X5 X9 Z10 X11,<class 'numpy.float64'>
0.0026344376365893,X3 Z4 X5 Y9 Z10 Y11,<class 'numpy.float64'>
0.0015206963637835,X3 Z4 X5 X8 Z9 X10,<class 'numpy.float64'>
0.0015206963637835,X3 Z4 X5 Y8 Z9 Y10,<class 'numpy.float64'>
