Coefficient,Term,Coefficient type
-75.35862026789685,I,<class 'numpy.float64'>
-0.4160899456569331,Z7,<class 'numpy.float64'>
-0.4160899335488274,Z6,<class 'numpy.float64'>
0.1612612356076495,Z6 Z7,<class 'numpy.float64'>
-0.0680714928114864,Z5,<class 'numpy.float64'>
0.1208646469289144,Z5 Z7,<class 'numpy.float64'>
0.1284583093320999,Z5 Z6,<class 'numpy.float64'>
-0.0075936635782057,X4 X5 Y6 Y7,<class 'numpy.float64'>
0.0075936635782057,X4 Y5 Y6 X7,<class 'numpy.float64'>
0.0075936635782057,Y4 X5 X6 Y7,<class 'numpy.float64'>
-0.0075936635782057,Y4 Y5 X6 X7,<class 'numpy.float64'>
-0.0680714922436323,Z4,<class 'numpy.float64'>
0.1284583173438747,Z4 Z7,<class 'numpy.float64'>
0.1208646525906484,Z4 Z6,<class 'numpy.float64'>
0.1203255236342805,Z4 Z5,<class 'numpy.float64'>
-0.0004735046780081,Z3,<class 'numpy.float64'>
0.1206530253204292,Z3 Z7,<class 'numpy.float64'>
0.1274242754554782,Z3 Z6,<class 'numpy.float64'>
0.0860147132578871,Z3 Z5,<class 'numpy.float64'>
0.1182332609582546,Z3 Z4,<class 'numpy.float64'>
-0.0067712504894978,X2 X3 Y6 Y7,<class 'numpy.float64'>
-0.0322185405431424,X2 X3 Y4 Y5,<class 'numpy.float64'>
0.0067712504894978,X2 Y3 Y6 X7,<class 'numpy.float64'>
0.0322185405431424,X2 Y3 Y4 X5,<class 'numpy.float64'>
0.0067712504894978,Y2 X3 X6 Y7,<class 'numpy.float64'>
0.0322185405431424,Y2 X3 X4 Y5,<class 'numpy.float64'>
-0.0067712504894978,Y2 Y3 X6 X7,<class 'numpy.float64'>
-0.0322185405431424,Y2 Y3 X4 X5,<class 'numpy.float64'>
-0.000473497188172,Z2,<class 'numpy.float64'>
0.1274242671479105,Z2 Z7,<class 'numpy.float64'>
0.1206530163039636,Z2 Z6,<class 'numpy.float64'>
0.118233246995812,Z2 Z5,<class 'numpy.float64'>
0.0860147136098927,Z2 Z4,<class 'numpy.float64'>
0.1177071310054068,Z2 Z3,<class 'numpy.float64'>
-0.0033599825446497,X1 X2 Y5 Y6,<class 'numpy.float64'>
-0.021361900708344,X1 X2 X4 Z5 Z6 X7,<class 'numpy.float64'>
0.0033599825446497,X1 Y2 Y5 X6,<class 'numpy.float64'>
-0.021361900708344,X1 Y2 Y4 Z5 Z6 X7,<class 'numpy.float64'>
-0.0171385194854582,X1 Z2 X3 X5 Z6 X7,<class 'numpy.float64'>
0.0008633997430203,X1 Z2 X3 Y5 Z6 Y7,<class 'numpy.float64'>
0.0042233823977633,X1 Z2 X3 X4 Z5 X6,<class 'numpy.float64'>
0.0042233823977633,X1 Z2 X3 Y4 Z5 Y6,<class 'numpy.float64'>
-0.0180019192284786,X1 Z2 Y3 Y5 Z6 X7,<class 'numpy.float64'>
0.0033599825446497,Y1 X2 X5 Y6,<class 'numpy.float64'>
-0.021361900708344,Y1 X2 X4 Z5 Z6 Y7,<class 'numpy.float64'>
-0.0033599825446497,Y1 Y2 X5 X6,<class 'numpy.float64'>
-0.021361900708344,Y1 Y2 Y4 Z5 Z6 Y7,<class 'numpy.float64'>
-0.0180019192284786,Y1 Z2 X3 X5 Z6 Y7,<class 'numpy.float64'>
0.0008633997430203,Y1 Z2 Y3 X5 Z6 X7,<class 'numpy.float64'>
-0.0171385194854582,Y1 Z2 Y3 Y5 Z6 Y7,<class 'numpy.float64'>
0.0042233823977633,Y1 Z2 Y3 X4 Z5 X6,<class 'numpy.float64'>
0.0042233823977633,Y1 Z2 Y3 Y4 Z5 Y6,<class 'numpy.float64'>
0.1402608508270564,Z1,<class 'numpy.float64'>
0.1063088191626892,Z1 Z7,<class 'numpy.float64'>
0.1301979606230809,Z1 Z6,<class 'numpy.float64'>
0.1044864478585239,Z1 Z5,<class 'numpy.float64'>
0.1095953585722317,Z1 Z4,<class 'numpy.float64'>
0.1031401744339625,Z1 Z3,<class 'numpy.float64'>
0.1090655110141598,Z1 Z2,<class 'numpy.float64'>
-0.0238891423692749,X0 X1 Y6 Y7,<class 'numpy.float64'>
-0.0051089062813428,X0 X1 Y4 Y5,<class 'numpy.float64'>
-0.0059253420374879,X0 X1 Y2 Y3,<class 'numpy.float64'>
0.0238891423692749,X0 Y1 Y6 X7,<class 'numpy.float64'>
0.0051089062813428,X0 Y1 Y4 X5,<class 'numpy.float64'>
0.0059253420374879,X0 Y1 Y2 X3,<class 'numpy.float64'>
0.0042233810439731,X0 Z1 X2 X5 Z6 X7,<class 'numpy.float64'>
0.0042233810439731,X0 Z1 X2 Y5 Z6 Y7,<class 'numpy.float64'>
-0.0171385194332021,X0 Z1 X2 X4 Z5 X6,<class 'numpy.float64'>
0.0008633995691041,X0 Z1 X2 Y4 Z5 Y6,<class 'numpy.float64'>
-0.0180019190023063,X0 Z1 Y2 Y4 Z5 X6,<class 'numpy.float64'>
-0.0213619016520528,X0 Z1 Z2 X3 X5 X6,<class 'numpy.float64'>
-0.0033599815849623,X0 Z1 Z2 X3 Y4 Z5 Z6 Y7,<class 'numpy.float64'>
-0.0213619016520528,X0 Z1 Z2 Y3 Y5 X6,<class 'numpy.float64'>
0.0033599815849623,X0 Z1 Z2 Y3 Y4 Z5 Z6 X7,<class 'numpy.float64'>
0.0238891423692749,Y0 X1 X6 Y7,<class 'numpy.float64'>
0.0051089062813428,Y0 X1 X4 Y5,<class 'numpy.float64'>
0.0059253420374879,Y0 X1 X2 Y3,<class 'numpy.float64'>
-0.0238891423692749,Y0 Y1 X6 X7,<class 'numpy.float64'>
-0.0051089062813428,Y0 Y1 X4 X5,<class 'numpy.float64'>
-0.0059253420374879,Y0 Y1 X2 X3,<class 'numpy.float64'>
-0.0180019190023063,Y0 Z1 X2 X4 Z5 Y6,<class 'numpy.float64'>
0.0042233810439731,Y0 Z1 Y2 X5 Z6 X7,<class 'numpy.float64'>
0.0042233810439731,Y0 Z1 Y2 Y5 Z6 Y7,<class 'numpy.float64'>
0.0008633995691041,Y0 Z1 Y2 X4 Z5 X6,<class 'numpy.float64'>
-0.0171385194332021,Y0 Z1 Y2 Y4 Z5 Y6,<class 'numpy.float64'>
-0.0213619016520528,Y0 Z1 Z2 X3 X5 Y6,<class 'numpy.float64'>
0.0033599815849623,Y0 Z1 Z2 X3 X4 Z5 Z6 Y7,<class 'numpy.float64'>
-0.0213619016520528,Y0 Z1 Z2 Y3 Y5 Y6,<class 'numpy.float64'>
-0.0033599815849623,Y0 Z1 Z2 Y3 X4 Z5 Z6 X7,<class 'numpy.float64'>
0.1402608490522496,Z0,<class 'numpy.float64'>
0.1301979599224503,Z0 Z7,<class 'numpy.float64'>
0.1063088166442923,Z0 Z6,<class 'numpy.float64'>
0.109595354816547,Z0 Z5,<class 'numpy.float64'>
0.1044864529675681,Z0 Z4,<class 'numpy.float64'>
0.1090655154351619,Z0 Z3,<class 'numpy.float64'>
0.1031401679403821,Z0 Z2,<class 'numpy.float64'>
0.1163001066864637,Z0 Z1,<class 'numpy.float64'>
